name,Face++106
notes,106-point template from faceplusplus.com
delin_pts,0;1;95
align_pts,0;1
width,1350
height,1350
points,106
lines,15

n,name,x,y,sym
0,left_eye_center,570,612,1
1,right_eye_center,780,614,0
2,contour_left1,445,596,34
3,contour_left2,444,627,33
4,contour_left3,444,658,32
5,contour_left4,447,689,31
6,contour_left5,451,720,30
7,contour_left6,457,750,29
8,contour_left7,464,780,28
9,contour_left8,472,810,27
10,contour_left9,483,840,26
11,contour_left10,496,867,25
12,contour_left11,513,893,24
13,contour_left12,533,917,23
14,contour_left13,557,938,22
15,contour_left14,583,956,21
16,contour_left15,612,971,20
17,contour_left16,645,981,19
18,contour_chin,682,984,18
19,contour_right16,718,981,17
20,contour_right15,751,971,16
21,contour_right14,779,956,15
22,contour_right13,805,937,14
23,contour_right12,826,915,13
24,contour_right11,845,891,12
25,contour_right10,861,864,11
26,contour_right9,873,835,10
27,contour_right8,882,806,9
28,contour_right7,890,775,8
29,contour_right6,896,744,7
30,contour_right5,901,714,6
31,contour_right4,905,683,5
32,contour_right3,907,652,4
33,contour_right2,907,621,3
34,contour_right1,905,589,2
35,left_eye_left_corner,525,619,48
36,left_eye_upper_left_quarter,542,605,47
37,left_eye_top,566,599,46
38,left_eye_upper_right_quarter,594,604,45
39,left_eye_right_corner,616,623,44
40,left_eye_lower_right_quarter,592,627,51
41,left_eye_bottom,566,631,50
42,left_eye_lower_left_quarter,543,627,49
43,left_eye_pupil,570,612,52
44,right_eye_left_corner,735,625,39
45,right_eye_upper_left_quarter,756,606,38
46,right_eye_top,784,598,37
47,right_eye_upper_right_quarter,809,605,36
48,right_eye_right_corner,828,620,35
49,right_eye_lower_right_quarter,809,629,42
50,right_eye_bottom,785,633,41
51,right_eye_lower_left_quarter,759,630,40
52,right_eye_pupil,780,614,43
53,left_eyebrow_left_corner,485,577,67
54,left_eyebrow_upper_left_quarter,510,545,66
55,left_eyebrow_upper_middle,549,533,65
56,left_eyebrow_upper_right_quarter,592,539,63
57,left_eyebrow_upper_right_corner,628,556,64
58,left_eyebrow_lower_right_corner,625,573,62
59,left_eyebrow_lower_right_quarter,587,560,70
60,left_eyebrow_lower_middle,549,551,69
61,left_eyebrow_lower_left_quarter,516,557,68
62,right_eyebrow_lower_left_corner,722,571,58
63,right_eyebrow_upper_left_corner,718,556,57
64,right_eyebrow_upper_left_quarter,754,540,56
65,right_eyebrow_upper_middle,796,531,55
66,right_eyebrow_upper_right_quarter,837,539,54
67,right_eyebrow_right_corner,866,570,53
68,right_eyebrow_lower_right_quarter,832,552,61
69,right_eyebrow_lower_middle,797,548,60
70,right_eyebrow_lower_left_quarter,759,558,59
71,nose_bridge1,675,608,71
72,nose_bridge2,675,644,72
73,nose_bridge3,675,681,73
74,nose_tip,675,717,74
75,nose_left_contour1,638,625,85
76,nose_left_contour2,622,706,84
77,nose_left_contour3,610,742,83
78,nose_left_contour4,630,751,82
79,nose_left_contour5,653,755,81
80,nose_middle_contour,676,761,80
81,nose_right_contour5,699,755,79
82,nose_right_contour4,722,751,78
83,nose_right_contour3,743,742,77
84,nose_right_contour2,730,705,76
85,nose_right_contour1,712,625,75
86,mouth_left_corner,589,837,92
87,mouth_upper_lip_left_contour2,619,816,91
88,mouth_upper_lip_left_contour1,654,801,90
89,mouth_upper_lip_top,676,807,89
90,mouth_upper_lip_right_contour1,699,800,88
91,mouth_upper_lip_right_contour2,732,814,87
92,mouth_right_corner,761,834,86
93,mouth_upper_lip_left_contour3,603,836,97
94,mouth_upper_lip_left_contour4,634,834,96
95,mouth_upper_lip_bottom,677,834,95
96,mouth_upper_lip_right_contour4,718,833,94
97,mouth_upper_lip_right_contour3,748,834,93
98,mouth_lower_lip_left_contour1,635,832,100
99,mouth_lower_lip_top,677,832,99
100,mouth_lower_lip_right_contour1,718,831,98
101,mouth_lower_lip_left_contour2,614,854,105
102,mouth_lower_lip_left_contour3,642,868,104
103,mouth_lower_lip_bottom,678,872,103
104,mouth_lower_lip_right_contour3,712,866,102
105,mouth_lower_lip_right_contour2,738,852,101

n,linetype,color,points
0,open,default,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34"
1,open,default,"86,87,88,89,90,91,92"
2,open,default,"86,93,98,99,100,97,92"
3,open,default,"86,94,95,96,97,92"
4,open,default,"86,101,102,103,104,105,92"
5,open,default,"35,36,37,38,39"
6,open,default,"35,42,41,40,39"
7,open,default,"44,45,46,47,48"
8,open,default,"44,51,50,49,48"
9,open,default,"53,54,55,56,57,58"
10,open,default,"53,61,60,59,58"
11,open,default,"62,63,64,65,66,67"
12,open,default,"62,70,69,68,67"
13,open,default,"75,76,77,78,79,80,81,82,83,84,85"
14,open,default,"71,72,73,74,80"

mask,points
left_eye,"35,36,37,38,39;39,40,41,42,35"
right_eye,"44,45,46,47,48;48,49,50,51,44"
nose,"75,76,77,78,79,80,81,82,83,84,85;85,71,75"
mouth,"86,87,88,89,90,91,92;92,105,104,103,102,101,86"
teeth,"86,93,98,99,100,97,92;92,97,96,95,94,86"
left_brow,"53,54,55,56,57,58;58,59,60,61,53"
right_brow,"62,63,64,65,66,67;67,68,69,70,62"
face,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,65,55,2"
